event_id,event_type,sub_event_type,venue_city,venue_capacity,event_date,season,ticket_price,avg_past_attendance,weather,death_count,actual_attend
2531,Sports,Badminton,Chennai,34711,2024-12-07,Rainy,3498.0,32796.0,Sunny,1,30068.0
17747,Prerelease,WebSeries,Hyderabad,66713,2022-01-12,Winter,1830.0,37135.0,Sunny,4,
8271,Sports,Basketball,Chennai,25103,2024-09-23,Winter,1216.0,18488.0,Rainy,3,14274.0
15080,Prerelease,Movie,Mumbai,17781,2022-05-02,Summer,2209.0,,Sunny,1,14140.0
13625,Prerelease,WebSeries,Hyderabad,25814,2022-04-11,Winter,1702.0,12040.0,Windy,2,9302.0
30639,Political,Debate,Delhi,25900,2022-09-02,Rainy,3350.0,11398.0,Sunny,0,11447.0
30441,Political,Rally,Hyderabad,10796,2024-02-12,Rainy,3520.0,7970.0,Cloudy,1,7238.0
36057,Traditional Events,Dussehra,Delhi,33915,2023-06-12,Summer,2759.0,13567.0,Sunny,0,10774.0
42652,Concert,Rock,Mumbai,53066,2023-10-07,Summer,981.0,40250.0,Sunny,5,42047.0
36804,Traditional Events,Dussehra,Mumbai,43006,2024-08-04,Rainy,3290.0,24861.0,Sunny,0,18421.0
48225,Fashion Show,Men,Chennai,18103,2024-04-26,Winter,1220.0,9809.0,Cloudy,0,9459.0
29227,Political,WebSeries,Hyderabad,31014,2023-12-23,Summer,1815.0,10050.0,Rainy,3,10751.0
5634,Sports,Cricket,Chennai,40569,2024-04-25,Winter,2569.0,32524.0,Sunny,0,
5988,Sports,Tennis,Hyderabad,27364,2022-10-04,Autumn,4029.0,21152.0,Sunny,1,21391.0
48064,Fashion Show,Men,Hyderabad,31062,2023-03-16,Summer,3394.0,26767.0,Cloudy,1,25819.0
1813,Sports,Basketball,Delhi,24144,2024-04-08,Rainy,2483.0,16241.0,Cloudy,1,12545.0
27579,Political,Rally,Mumbai,59357,2022-09-06,Rainy,2589.0,19158.0,Sunny,2,16167.0
16824,Prerelease,WebSeries,Delhi,36316,2022-02-25,Summer,4013.0,34247.0,Sunny,4,27457.0
3929,Sports,Basketball,Mumbai,25421,2022-06-23,Winter,2595.0,20320.0,Sunny,3,21271.0
37287,Traditional Events,Vinayaka Chavithi,Bengaluru,30069,2022-07-15,Winter,2383.0,25340.0,Cloudy,2,25348.0
25046,Political,Rally,Chennai,35501,2023-02-13,Winter,3258.0,31705.0,Sunny,0,25137.0
15728,Prerelease,WebSeries,Mumbai,10817,2023-01-01,Winter,2441.0,10234.0,Rainy,2,7588.0
29601,Political,Movie,Hyderabad,15494,2023-05-14,Rainy,1464.0,13814.0,Sunny,3,11549.0
10431,Sports,Basketball,Vijayawada,37217,2023-11-15,Rainy,3215.0,19582.0,Windy,3,21573.0
25769,Political,Rally,Hyderabad,49265,2024-01-02,Winter,1091.0,46734.0,Windy,2,49265.0
29104,Political,Rally,Hyderabad,31646,2024-09-10,Winter,2269.0,11682.0,Windy,0,11839.0
36538,Traditional Events,Vinayaka Chavithi,Hyderabad,45624,2024-01-07,Rainy,4106.0,18859.0,Cloudy,3,13743.0
39329,Concert,Rock,Vijayawada,39839,2023-04-20,Winter,1027.0,19848.0,Windy,0,21327.0
35540,Traditional Events,Vinayaka Chavithi,Delhi,25261,2023-11-01,Summer,1802.0,21030.0,Sunny,5,19385.0
28076,Political,Debate,Vijayawada,56182,2023-04-23,Rainy,3298.0,50962.0,Rainy,0,41858.0
17841,Prerelease,Movie,Mumbai,24403,2024-06-19,Summer,4265.0,21727.0,Sunny,2,20274.0
27803,Political,Men,Hyderabad,35119,2022-04-25,Summer,2632.0,12449.0,Windy,1,9510.0
7683,Sports,Basketball,Bengaluru,33118,2023-08-18,Summer,1441.0,28432.0,Windy,3,29651.0
24280,Political,Debate,Delhi,59453,2023-08-18,Summer,3858.0,28550.0,Sunny,0,28123.0
33071,Traditional Events,Dussehra,Delhi,29390,2024-04-08,Winter,2388.0,26373.0,Sunny,3,27652.0
35558,Traditional Events,Dussehra,Mumbai,12253,2022-12-03,Summer,2512.0,8849.0,Sunny,1,6864.0
37190,Traditional Events,Dussehra,Mumbai,52701,2022-06-22,Summer,2019.0,36203.0,Windy,0,31285.0
47150,Fashion Show,Vinayaka Chavithi,,17320,2023-04-08,Autumn,3312.0,7884.0,Cloudy,0,6915.0
46916,Fashion Show,Women,Bengaluru,33173,2023-05-07,Rainy,2629.0,25472.0,Sunny,0,24492.0
9802,Sports,Tennis,Hyderabad,47533,2023-11-06,Rainy,1951.0,29445.0,Sunny,5,28123.0
38801,Traditional Events,Vinayaka Chavithi,Bengaluru,28226,2024-05-09,Rainy,1748.0,11947.0,Sunny,0,12582.0
24670,Political,Debate,Vijayawada,24852,2024-02-10,Rainy,1565.0,13052.0,Cloudy,1,9949.0
44234,Concert,Rock,Mumbai,16864,2023-02-21,Summer,2165.0,9318.0,Sunny,3,9464.0
31920,Traditional Events,Dussehra,Mumbai,10552,2022-01-31,Rainy,2682.0,7463.0,Cloudy,3,6945.0
7135,Sports,Cricket,Bengaluru,26111,2022-03-23,Winter,3612.0,16130.0,Stormy,3,14334.0
33705,Traditional Events,Dussehra,Bengaluru,35233,2023-11-07,Summer,3192.0,20639.0,Rainy,3,22570.0
29661,Political,Debate,Hyderabad,63654,2024-01-26,Summer,2481.0,42856.0,Sunny,2,35030.0
17894,Prerelease,Movie,Chennai,25662,2024-02-04,Rainy,2533.0,23774.0,Sunny,0,17255.0
22019,Prerelease,WebSeries,Hyderabad,32668,2022-05-16,Summer,1755.0,14002.0,Rainy,2,14427.0
13539,Prerelease,WebSeries,Hyderabad,23225,2022-05-01,Rainy,1067.0,13415.0,Rainy,2,
43119,Concert,Rock,Chennai,24484,2023-08-16,Winter,1866.0,10905.0,Sunny,1,9958.0
36421,Traditional Events,Vinayaka Chavithi,Bengaluru,28602,2022-01-14,Winter,1278.0,15163.0,Sunny,0,15000.0
9406,Sports,Football,Hyderabad,34758,2024-09-22,Rainy,4151.0,30947.0,Sunny,1,33510.0
13414,Prerelease,WebSeries,Delhi,51343,2022-12-19,Rainy,3401.0,32821.0,Sunny,5,29587.0
6721,Sports,Football,Mumbai,18232,2023-01-16,Winter,1217.0,11380.0,Sunny,0,9431.0
15602,Prerelease,Men,Mumbai,29972,2024-10-22,Winter,1255.0,23637.0,Rainy,0,23946.0
44744,Concert,Cricket,Delhi,12689,2024-09-02,Winter,2318.0,6420.0,Windy,1,5111.0
31139,Political,Rally,Hyderabad,19802,2022-01-20,Rainy,1791.0,13295.0,Cloudy,0,14121.0
2730,Sports,Debate,Delhi,23510,2024-05-22,Rainy,1686.0,,Sunny,6,22395.0
38243,Traditional Events,Vinayaka Chavithi,Bengaluru,41719,2022-09-27,Summer,1992.0,19300.0,Sunny,1,21835.0
29626,Political,Rally,Bengaluru,31325,2023-04-25,Winter,2637.0,22026.0,Sunny,4,21632.0
47895,Fashion Show,Men,Chennai,32998,2022-04-06,Summer,3840.0,19194.0,Windy,0,16382.0
42091,Concert,Rock,Delhi,53149,2024-02-24,Summer,2516.0,25268.0,Windy,1,18165.0
36400,Traditional Events,Dussehra,Hyderabad,8977,2024-03-25,Winter,2518.0,7254.0,Cloudy,0,5540.0
6245,Sports,Basketball,Bengaluru,21837,2022-09-24,Winter,1702.0,19284.0,Cloudy,0,13878.0
5546,Sports,Cricket,Mumbai,20289,2022-03-19,Summer,3368.0,16335.0,Sunny,6,14865.0
4065,Sports,Tennis,Chennai,18440,2024-07-16,Summer,2278.0,,Cloudy,2,5974.0
12852,Prerelease,WebSeries,,25433,2024-07-06,Winter,4384.0,12633.0,Sunny,1,8801.0
21803,Prerelease,WebSeries,Delhi,20914,2023-05-23,Autumn,1359.0,18669.0,Rainy,3,20865.0
41164,Concert,Debate,Vijayawada,26923,2022-01-13,Rainy,2798.0,20092.0,Stormy,2,19259.0
6233,Sports,Tennis,Hyderabad,59412,2023-09-13,Summer,2093.0,46878.0,Sunny,0,
3863,Sports,Basketball,Hyderabad,58849,2024-04-01,Winter,4202.0,49985.0,Sunny,3,51669.0
35095,Traditional Events,Dussehra,Chennai,46239,2022-10-09,Winter,3158.0,20506.0,Windy,0,17383.0
40196,Concert,Rock,Hyderabad,18515,2024-07-21,Rainy,3039.0,5993.0,Sunny,1,4949.0
39251,Concert,Classical,Delhi,49664,2023-07-30,Winter,3277.0,28988.0,Sunny,2,29037.0
6218,Sports,Basketball,Hyderabad,11024,2024-09-18,Rainy,4408.0,7099.0,Rainy,2,
36776,Traditional Events,Dussehra,Vijayawada,50863,2024-11-29,Rainy,1416.0,19512.0,Cloudy,3,19156.0
42977,Concert,Rock,Hyderabad,24925,2024-11-15,Summer,950.0,20166.0,Cloudy,1,22976.0
48468,Fashion Show,Women,Bengaluru,33233,2024-12-16,Autumn,1106.0,12937.0,Sunny,0,11013.0
14832,Prerelease,Movie,Hyderabad,22342,2023-05-11,Winter,2670.0,10970.0,Cloudy,2,11486.0
30093,Political,Rally,Mumbai,44393,2022-09-16,Summer,4605.0,31667.0,Sunny,1,22109.0
8894,Sports,Football,Vijayawada,32035,2023-08-03,Winter,1831.0,15337.0,Sunny,6,
6021,Sports,Football,Bengaluru,15664,2023-04-15,Rainy,4612.0,5915.0,Cloudy,1,3937.0
46089,Fashion Show,Women,Delhi,23744,2023-12-16,Summer,833.0,7817.0,Rainy,1,5932.0
15243,Prerelease,Movie,Mumbai,39723,2023-04-27,Autumn,3431.0,12521.0,Windy,0,10676.0
45308,Fashion Show,Men,Mumbai,22275,2022-03-18,Rainy,2580.0,10215.0,Windy,2,8476.0
26551,Political,Men,,27301,2024-04-18,Rainy,2743.0,21269.0,Sunny,3,18414.0
6035,Sports,Cricket,Delhi,16713,2024-10-10,Summer,1081.0,7892.0,Rainy,0,6608.0
7906,Sports,Rock,Hyderabad,28658,2023-08-15,Rainy,3088.0,12311.0,Sunny,1,12584.0
32226,Traditional Events,Vinayaka Chavithi,Mumbai,27251,2023-10-26,Winter,3378.0,18966.0,Sunny,1,19220.0
6018,Sports,Football,Delhi,33545,2023-08-13,Winter,1735.0,17875.0,Rainy,1,13445.0
21880,Prerelease,Movie,Mumbai,45178,2024-02-29,Winter,3016.0,34641.0,Rainy,2,35705.0
2792,Sports,Football,Hyderabad,32585,2022-12-07,Summer,3272.0,17665.0,Sunny,2,15417.0
42606,Concert,Classical,Mumbai,36968,2024-08-05,Rainy,2721.0,19334.0,Sunny,0,
5824,Sports,Tennis,Mumbai,57897,2023-10-24,Autumn,1885.0,42876.0,Sunny,3,48368.0
15388,Prerelease,Movie,,23836,2023-02-12,Winter,1644.0,18084.0,Cloudy,1,18874.0
29562,Political,Debate,Mumbai,44030,2022-09-26,Summer,,17988.0,Sunny,1,15738.0
39476,Concert,Rock,Mumbai,37383,2023-10-05,Rainy,2319.0,18791.0,Cloudy,2,20680.0
293,Sports,Badminton,Chennai,39416,2024-11-25,Autumn,1198.0,12548.0,Sunny,0,12964.0
16958,Prerelease,Movie,Mumbai,37958,2024-10-23,Rainy,2656.0,14972.0,Rainy,1,11172.0
30861,Political,Debate,Mumbai,15611,2022-10-21,Summer,3739.0,12611.0,Sunny,3,13441.0
14074,Prerelease,WebSeries,,13755,2024-04-22,Rainy,2095.0,9342.0,Sunny,1,6480.0
21857,Prerelease,Tennis,Hyderabad,24431,2023-12-20,Summer,2485.0,13567.0,Sunny,2,13844.0
22080,Prerelease,WebSeries,Chennai,26759,2024-02-06,Autumn,,20659.0,Sunny,0,20805.0
17024,Prerelease,Movie,Mumbai,7371,2022-08-20,Winter,3608.0,5774.0,Rainy,1,3688.0
8740,Sports,Cricket,Delhi,14906,2024-06-13,Rainy,2497.0,8358.0,Cloudy,1,5657.0
15826,Prerelease,Movie,Mumbai,12189,2024-10-12,Summer,2272.0,7828.0,Rainy,4,7499.0
2742,Sports,Badminton,Delhi,65140,2024-01-09,Rainy,2027.0,32457.0,Sunny,0,24816.0
18049,Prerelease,Movie,Mumbai,36212,2022-08-13,Summer,2968.0,28373.0,Windy,2,23889.0
49937,Fashion Show,Men,Delhi,31174,2024-06-19,Rainy,2539.0,19429.0,Rainy,1,16754.0
17373,Prerelease,WebSeries,Mumbai,52870,2023-02-20,Rainy,2276.0,19628.0,Cloudy,2,18904.0
22022,Prerelease,Movie,Chennai,53479,2023-07-27,Autumn,,40282.0,Cloudy,0,30105.0
46365,Fashion Show,Men,Hyderabad,62374,2023-09-18,Summer,3600.0,37761.0,Cloudy,1,30963.0
23538,Political,Debate,Delhi,56763,2024-02-24,Autumn,3395.0,24285.0,Cloudy,1,25241.0
45500,Fashion Show,Men,Chennai,54095,2024-01-06,Summer,3538.0,50803.0,Rainy,3,43178.0
40186,Concert,Classical,Chennai,31050,2022-10-20,Winter,2126.0,23916.0,Cloudy,1,19010.0
9614,Sports,Basketball,Hyderabad,58750,2023-01-13,Summer,2787.0,32748.0,Rainy,2,32487.0
43282,Concert,Rock,Mumbai,11213,2023-09-04,Autumn,3877.0,8305.0,Sunny,2,6589.0
37892,Traditional Events,Dussehra,Vijayawada,34046,2024-10-06,Summer,2148.0,20808.0,Rainy,2,19721.0
26179,Political,Debate,Mumbai,52213,2022-08-06,Winter,2345.0,21074.0,Rainy,5,
45893,Fashion Show,Men,Mumbai,29169,2023-05-18,Rainy,2096.0,20376.0,Windy,1,16101.0
20934,Prerelease,Movie,Bengaluru,11951,2023-01-31,Summer,2211.0,9952.0,Cloudy,4,9318.0
40972,Concert,Rock,Hyderabad,12794,2023-09-25,Winter,3455.0,7864.0,Sunny,1,8444.0
22225,Prerelease,WebSeries,Mumbai,52338,2023-03-22,Rainy,1495.0,24717.0,Rainy,4,19732.0
24382,Political,Debate,Mumbai,28632,2022-03-15,Winter,900.0,9971.0,Sunny,1,10971.0
34856,Traditional Events,Rock,Delhi,16656,2023-06-16,Rainy,3113.0,10051.0,Cloudy,0,7803.0
48578,Fashion Show,Men,Mumbai,25913,2023-04-24,Rainy,2117.0,9902.0,Sunny,8,6867.0
38537,Traditional Events,Dussehra,Vijayawada,16141,2022-02-14,Winter,2112.0,11280.0,Sunny,2,8839.0
31756,Traditional Events,Dussehra,Mumbai,58122,2024-08-19,Summer,1848.0,31816.0,Sunny,0,33214.0
7754,Sports,Badminton,Vijayawada,63881,2023-12-07,Rainy,3149.0,25113.0,Windy,0,
46639,Fashion Show,Women,Vijayawada,35278,2023-06-03,Winter,1474.0,25945.0,Rainy,4,22389.0
43835,Concert,Classical,Bengaluru,31646,2024-06-03,Autumn,1526.0,10390.0,Sunny,1,8383.0
26236,Political,Rally,Chennai,45338,2023-02-04,Autumn,1966.0,17160.0,Windy,4,18941.0
44230,Concert,Rock,Bengaluru,33156,2022-08-16,Autumn,1693.0,30655.0,Sunny,2,22757.0
49597,Fashion Show,Women,Mumbai,25355,2023-01-15,Winter,2608.0,9234.0,Sunny,0,9476.0
18553,Prerelease,WebSeries,Hyderabad,33568,2024-02-18,Summer,1602.0,21871.0,Rainy,0,23660.0
43137,Concert,Classical,Hyderabad,45759,2024-09-12,Winter,2650.0,25344.0,Rainy,1,21882.0
36673,Traditional Events,Basketball,Hyderabad,27089,2024-05-27,Rainy,3029.0,20318.0,Sunny,2,20732.0
43650,Concert,Rock,Chennai,31213,2023-02-01,Autumn,1906.0,17471.0,Cloudy,1,15087.0
3941,Sports,Basketball,Hyderabad,19961,2022-05-25,Winter,1173.0,17599.0,Sunny,3,17034.0
31497,Political,Football,Chennai,59643,2022-02-25,Rainy,1776.0,35475.0,Sunny,1,37455.0
26594,Political,Rally,,35571,2024-07-30,Summer,2759.0,21681.0,Sunny,2,24691.0
23922,Political,Debate,,21972,2023-08-15,Summer,3594.0,13891.0,Sunny,0,15466.0
26403,Political,Rally,Vijayawada,49802,2023-08-02,Winter,2337.0,32291.0,Stormy,2,29960.0
45943,Fashion Show,Men,Mumbai,19344,2023-02-20,Summer,2313.0,13247.0,Rainy,2,13917.0
48526,Fashion Show,Men,,28110,2023-06-10,Rainy,1597.0,10721.0,Rainy,1,10190.0
18316,Prerelease,Movie,Mumbai,49929,2023-07-10,Winter,1794.0,42228.0,Sunny,0,47243.0
36894,Traditional Events,Dussehra,Mumbai,60469,2024-03-07,Winter,3405.0,51656.0,Sunny,0,52803.0
26696,Political,Debate,Hyderabad,10757,2023-07-22,Winter,2340.0,6418.0,Rainy,2,5700.0
42128,Concert,Movie,Hyderabad,10401,2022-08-21,Autumn,2097.0,9153.0,Stormy,0,9414.0
14171,Prerelease,WebSeries,Bengaluru,19783,2022-05-19,Winter,2147.0,11135.0,Stormy,1,8212.0
3733,Sports,Football,Vijayawada,31830,2024-03-04,Summer,2746.0,14063.0,Cloudy,0,15969.0
7882,Sports,Cricket,Hyderabad,22801,2022-07-04,Summer,1842.0,13069.0,Sunny,0,13065.0
6017,Sports,Debate,Delhi,47365,2023-06-21,Summer,1297.0,35726.0,Rainy,2,38772.0
23030,Political,Debate,Delhi,44230,2024-10-29,Rainy,,26473.0,Cloudy,4,26155.0
35474,Traditional Events,Vinayaka Chavithi,Bengaluru,35870,2022-08-27,Summer,4274.0,18691.0,Sunny,0,16258.0
49686,Fashion Show,Women,Bengaluru,32269,2024-04-16,Winter,1750.0,29684.0,Windy,0,22784.0
4818,Sports,Tennis,Bengaluru,24162,2023-10-17,Summer,1099.0,12597.0,Sunny,3,12521.0
41694,Concert,Classical,Bengaluru,21651,2022-07-09,Summer,3770.0,14069.0,Sunny,5,13681.0
12008,Sports,Tennis,Delhi,45189,2022-03-17,Summer,3211.0,29070.0,Sunny,0,32774.0
41328,Concert,Rock,Chennai,34829,2023-02-10,Summer,1957.0,15914.0,Rainy,5,
9507,Sports,Basketball,Delhi,8416,2023-02-01,Winter,1972.0,6985.0,Cloudy,3,5387.0
44799,Concert,Classical,Hyderabad,45945,2024-04-19,Summer,3346.0,25775.0,Sunny,2,26625.0
34063,Traditional Events,Dussehra,Delhi,15677,2023-02-01,Autumn,1984.0,13736.0,Sunny,0,13567.0
27475,Political,Debate,Hyderabad,13588,2023-08-13,Winter,1778.0,11676.0,Cloudy,2,12039.0
31144,Political,Debate,Delhi,35997,2022-03-25,Rainy,4617.0,17085.0,Windy,0,16794.0
21236,Prerelease,Movie,Mumbai,52508,2023-02-23,Winter,2761.0,41481.0,Cloudy,2,41295.0
1391,Sports,Football,Hyderabad,33829,2022-01-27,Summer,1380.0,20508.0,Cloudy,2,16293.0
38250,Traditional Events,Vinayaka Chavithi,Bengaluru,27852,2022-01-09,Rainy,890.0,9071.0,Windy,4,7160.0
37625,Traditional Events,Football,Bengaluru,44654,2023-10-05,Winter,1635.0,36367.0,Cloudy,2,27493.0
42029,Concert,Rock,Bengaluru,24649,2022-02-26,Summer,3160.0,9427.0,Windy,0,7909.0
20835,Prerelease,WebSeries,Delhi,28342,2024-11-17,Summer,2421.0,25515.0,Windy,1,19311.0
14758,Prerelease,Movie,Mumbai,38252,2023-02-26,Winter,3054.0,35865.0,Sunny,4,38252.0
26397,Political,Debate,Hyderabad,46441,2024-10-26,Rainy,1681.0,21592.0,Cloudy,3,20420.0
6809,Sports,Basketball,Bengaluru,47680,2024-08-04,Rainy,1563.0,44994.0,Sunny,1,47680.0
9226,Sports,Cricket,Bengaluru,11967,2024-12-02,Winter,1584.0,8707.0,Cloudy,0,7037.0
